Date,Ticker,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend_Yield_Daily,Price_Drop_Pct,Ex_Dividend_Impact,Day_Range_Pct,Theoretical_Ex_Price,Actual_vs_Theoretical
1993-03-19 14:30:00,SPY,45.28125,45.28125,45.03125,45.03125,25.105369567871094,66900,0.213,0.47300485773768214,0.5521048999309869,0.25,0.5521048999309869,45.06825,-0.036999999999999034
1993-06-18 13:30:00,SPY,44.84375,44.84375,44.5,44.5,24.98502540588379,58500,0.318,0.7146067415730337,0.7665505226480837,0.34375,0.7665505226480837,44.52575,-0.02575000000000216
1993-09-17 13:30:00,SPY,45.875,45.90625,45.75,45.8125,25.882190704345703,200900,0.286,0.6242837653478853,0.13623978201634876,0.0625,0.3405994550408719,45.589,0.22350000000000136
1993-12-17 14:30:00,SPY,46.40625,46.59375,46.375,46.5625,26.48598861694336,104700,0.317,0.6808053691275168,-0.33670033670033667,-0.15625,0.47138047138047134,46.08925,0.47325000000000017
1994-03-18 14:30:00,SPY,46.75,47.03125,46.71875,46.96875,26.87120246887207,365500,0.271,0.576979374584165,-0.4679144385026738,-0.21875,0.6684491978609626,46.479,0.4897500000000008
1994-06-17 13:30:00,SPY,46.15625,46.203125,45.8125,45.875,26.41897201538086,403800,0.305,0.6648501362397821,0.6093432633716994,0.28125,0.8463100880162491,45.85125,0.023749999999999716
1994-09-16 13:30:00,SPY,47.0,47.140625,46.84375,47.015625,27.240522384643555,571300,0.288,0.6125623130608174,-0.03324468085106383,-0.015625,0.6316489361702127,46.712,0.3036249999999967
1994-12-16 14:30:00,SPY,45.671875,45.84375,45.625,45.75,26.718578338623047,266100,0.363,0.7934426229508197,-0.17105713308244952,-0.078125,0.4789599726308587,45.308875,0.44112499999999955
1995-03-17 14:30:00,SPY,49.4375,49.625,49.40625,49.5625,29.101810455322266,89900,0.268,0.5407313997477933,-0.2528445006321113,-0.125,0.4424778761061947,49.1695,0.3930000000000007
1995-06-16 13:30:00,SPY,53.703125,53.96875,53.703125,53.96875,31.875131607055664,325100,0.316,0.5855240301100174,-0.4946173988943846,-0.265625,0.4946173988943846,53.387125,0.5816250000000025
1995-09-15 13:30:00,SPY,58.40625,58.578125,58.203125,58.4375,34.69868087768555,431200,0.312,0.533903743315508,-0.05350454788657035,-0.03125,0.6420545746388443,58.09425,0.3432499999999976
1995-12-15 14:30:00,SPY,61.875,61.875,61.59375,61.8125,36.92958068847656,416700,0.382,0.6179979777553084,0.10101010101010101,0.0625,0.45454545454545453,61.493,0.3194999999999979
